"Title: Estimates of Homelessness | KFF"
"Timeframe: 2020"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","408891","171575","580466","1"
"Alabama","2497","854","3351"
"Alaska","1445","504","1949"
"Arizona","8280","2699","10979"
"Arkansas","2073","293","2366"
"California","135771","25777","161548"
"Colorado","7579","2267","9846"
"Connecticut","1973","932","2905"
"Delaware","737","428","1165"
"District of Columbia","3949","2431","6380"
"Florida","20344","7143","27487"
"Georgia","7696","2538","10234"
"Hawaii","4568","1890","6458"
"Idaho","1320","995","2315"
"Illinois","6995","3436","10431"
"Indiana","4117","1508","5625"
"Iowa","1852","795","2647"
"Kansas","1751","698","2449"
"Kentucky","3116","895","4011"
"Louisiana","2591","582","3173"
"Maine","1289","808","2097"
"Maryland","4430","1930","6360"
"Massachusetts","6233","11742","17975"
"Michigan","5267","3371","8638"
"Minnesota","4726","3214","7940"
"Mississippi","853","254","1107"
"Missouri","4416","2111","6527"
"Montana","996","549","1545"
"Nebraska","1722","682","2404"
"Nevada","6381","519","6900"
"New Hampshire","1023","652","1675"
"New Jersey","6413","3249","9662"
"New Mexico","2555","778","3333"
"New York","43283","47988","91271"
"North Carolina","6756","2524","9280"
"North Dakota","371","170","541"
"Ohio","7636","3019","10655"
"Oklahoma","3162","770","3932"
"Oregon","11995","2660","14655"
"Pennsylvania","8585","4790","13375"
"Rhode Island","723","381","1104"
"South Carolina","3432","855","4287"
"South Dakota","743","315","1058"
"Tennessee","5673","1583","7256"
"Texas","21115","6114","27229"
"Utah","2150","981","3131"
"Vermont","738","372","1110"
"Virginia","3959","1998","5957"
"Washington","16198","6725","22923"
"West Virginia","1156","185","1341"
"Wisconsin","2677","1838","4515"
"Wyoming","427","185","612"
"Guam","276","514","790"
"Northern Mariana Islands","323","884","1207"
"Puerto Rico","2251","200","2451"
"Virgin Islands","304","0","304"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
