"Title: Estimates of Homelessness | KFF"
"Timeframe: 2013"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","368174","222190","590364","1"
"Alabama","3387","1302","4689"
"Alaska","1362","584","1946"
"Arizona","6510","4052","10562"
"Arkansas","3174","638","3812"
"California","93458","25094","118552"
"Colorado","4664","5090","9754"
"Connecticut","3101","1347","4448"
"Delaware","575","371","946"
"District of Columbia","3696","3169","6865"
"Florida","31359","16503","47862"
"Georgia","12880","4091","16971"
"Hawaii","3355","2980","6335"
"Idaho","1084","697","1781"
"Illinois","7958","5467","13425"
"Indiana","3751","2345","6096"
"Iowa","1524","1560","3084"
"Kansas","1480","1213","2693"
"Kentucky","3302","1943","5245"
"Louisiana","3908","1318","5226"
"Maine","1563","1453","3016"
"Maryland","5221","2984","8205"
"Massachusetts","6694","12335","19029"
"Michigan","7236","4291","11527"
"Minnesota","3728","4486","8214"
"Mississippi","1753","650","2403"
"Missouri","4652","3929","8581"
"Montana","1211","667","1878"
"Nebraska","1892","1253","3145"
"Nevada","6200","839","7039"
"New Hampshire","798","649","1447"
"New Jersey","6093","5909","12002"
"New Mexico","1786","1033","2819"
"New York","31235","46195","77430"
"North Carolina","7530","4638","12168"
"North Dakota","1230","839","2069"
"Ohio","7611","4714","12325"
"Oklahoma","3179","1229","4408"
"Oregon","8994","4828","13822"
"Pennsylvania","7973","7113","15086"
"Rhode Island","862","522","1384"
"South Carolina","4736","1808","6544"
"South Dakota","557","537","1094"
"Tennessee","6909","2619","9528"
"Texas","20758","8857","29615"
"Utah","1959","1318","3277"
"Vermont","701","753","1454"
"Virginia","4532","3093","7625"
"Washington","10617","7143","17760"
"West Virginia","1544","696","2240"
"Wisconsin","3005","3099","6104"
"Wyoming","677","276","953"
"Guam","296","975","1271"
"Northern Mariana Islands","N/A","N/A","N/A"
"Puerto Rico","3470","658","4128"
"Virgin Islands","444","38","482"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
