"Title: Estimates of Homelessness | KFF"
"Timeframe: 2016"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","355212","194716","549928","1"
"Alabama","3019","1092","4111"
"Alaska","1527","413","1940"
"Arizona","6659","3048","9707"
"Arkansas","1838","625","2463"
"California","97660","20482","118142"
"Colorado","6450","4100","10550"
"Connecticut","2570","1332","3902"
"Delaware","753","317","1070"
"District of Columbia","3683","4667","8350"
"Florida","24201","9358","33559"
"Georgia","9265","3644","12909"
"Hawaii","4590","3331","7921"
"Idaho","1284","963","2247"
"Illinois","6986","4604","11590"
"Indiana","3824","1974","5798"
"Iowa","1543","1521","3064"
"Kansas","1228","1027","2255"
"Kentucky","2949","1288","4237"
"Louisiana","3176","818","3994"
"Maine","1321","920","2241"
"Maryland","4983","2706","7689"
"Massachusetts","6434","13174","19608"
"Michigan","5803","3513","9316"
"Minnesota","3669","3672","7341"
"Mississippi","1299","439","1738"
"Missouri","3810","2384","6194"
"Montana","844","574","1418"
"Nebraska","1880","874","2754"
"Nevada","6853","545","7398"
"New Hampshire","827","539","1366"
"New Jersey","5540","3355","8895"
"New Mexico","1556","707","2263"
"New York","35315","51037","86352"
"North Carolina","6396","3163","9559"
"North Dakota","662","261","923"
"Ohio","6946","3458","10404"
"Oklahoma","2997","1110","4107"
"Oregon","9379","3859","13238"
"Pennsylvania","8599","6740","15339"
"Rhode Island","859","301","1160"
"South Carolina","3758","1293","5051"
"South Dakota","548","524","1072"
"Tennessee","6652","2127","8779"
"Texas","15959","7163","23122"
"Utah","1828","979","2807"
"Vermont","655","462","1117"
"Virginia","3959","2309","6268"
"Washington","13900","6927","20827"
"West Virginia","1039","348","1387"
"Wisconsin","2886","2799","5685"
"Wyoming","517","340","857"
"Guam","227","858","1085"
"Northern Mariana Islands","N/A","N/A","N/A"
"Puerto Rico","3799","619","4418"
"Virgin Islands","308","33","341"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
