"Title: Estimates of Homelessness | KFF"
"Timeframe: 2019"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","396045","171670","567715","1"
"Alabama","2519","742","3261"
"Alaska","1384","523","1907"
"Arizona","7538","2469","10007"
"Arkansas","2303","414","2717"
"California","128777","22501","151278"
"Colorado","7263","2356","9619"
"Connecticut","2100","933","3033"
"Delaware","565","356","921"
"District of Columbia","3875","2646","6521"
"Florida","21265","7063","28328"
"Georgia","7913","2530","10443"
"Hawaii","4420","1992","6412"
"Idaho","1516","799","2315"
"Illinois","6513","3686","10199"
"Indiana","3783","1688","5471"
"Iowa","1574","741","2315"
"Kansas","1742","639","2381"
"Kentucky","3073","1006","4079"
"Louisiana","2416","525","2941"
"Maine","1232","874","2106"
"Maryland","4652","1909","6561"
"Massachusetts","6259","12212","18471"
"Michigan","5212","3363","8575"
"Minnesota","4586","3391","7977"
"Mississippi","963","221","1184"
"Missouri","4173","2006","6179"
"Montana","947","410","1357"
"Nebraska","1715","650","2365"
"Nevada","6614","555","7169"
"New Hampshire","812","584","1396"
"New Jersey","5895","2967","8862"
"New Mexico","2464","777","3241"
"New York","42113","49978","92091"
"North Carolina","6867","2447","9314"
"North Dakota","377","180","557"
"Ohio","7041","3304","10345"
"Oklahoma","3063","881","3944"
"Oregon","12354","3522","15876"
"Pennsylvania","8426","4773","13199"
"Rhode Island","730","325","1055"
"South Carolina","3318","854","4172"
"South Dakota","725","270","995"
"Tennessee","5637","1830","7467"
"Texas","19611","6237","25848"
"Utah","1921","877","2798"
"Vermont","681","408","1089"
"Virginia","3666","2117","5783"
"Washington","15985","5592","21577"
"West Virginia","1149","248","1397"
"Wisconsin","2545","1993","4538"
"Wyoming","437","111","548"
"Guam","258","617","875"
"Northern Mariana Islands","423","1384","1807"
"Puerto Rico","2341","194","2535"
"Virgin Islands","314","0","314"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
