"Title: Estimates of Homelessness | KFF"
"Timeframe: 2014"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","360189","216261","576450","1"
"Alabama","3115","1446","4561"
"Alaska","1209","575","1784"
"Arizona","6194","4301","10495"
"Arkansas","2303","633","2936"
"California","90765","23187","113952"
"Colorado","5573","4455","10028"
"Connecticut","3069","1381","4450"
"Delaware","584","317","901"
"District of Columbia","3953","3795","7748"
"Florida","28730","12812","41542"
"Georgia","12403","4118","16521"
"Hawaii","3750","3168","6918"
"Idaho","1234","870","2104"
"Illinois","7350","5757","13107"
"Indiana","3953","2018","5971"
"Iowa","1544","1578","3122"
"Kansas","1533","1250","2783"
"Kentucky","3352","1737","5089"
"Louisiana","3444","1162","4606"
"Maine","1348","1378","2726"
"Maryland","4980","2876","7856"
"Massachusetts","6788","14449","21237"
"Michigan","7535","4692","12227"
"Minnesota","3652","4725","8377"
"Mississippi","1714","512","2226"
"Missouri","4307","2975","7282"
"Montana","1167","578","1745"
"Nebraska","1893","1133","3026"
"Nevada","7356","1226","8582"
"New Hampshire","795","581","1376"
"New Jersey","6446","5225","11671"
"New Mexico","1804","942","2746"
"New York","32643","47947","80590"
"North Carolina","7498","3993","11491"
"North Dakota","886","372","1258"
"Ohio","7704","4119","11823"
"Oklahoma","2964","1227","4191"
"Oregon","7988","4176","12164"
"Pennsylvania","8359","6974","15333"
"Rhode Island","779","411","1190"
"South Carolina","3813","1244","5057"
"South Dakota","490","395","885"
"Tennessee","6800","2615","9415"
"Texas","19177","9318","28495"
"Utah","1729","1352","3081"
"Vermont","823","736","1559"
"Virginia","4234","2786","7020"
"Washington","11390","7052","18442"
"West Virginia","1488","525","2013"
"Wisconsin","2929","3126","6055"
"Wyoming","463","294","757"
"Guam","332","1024","1356"
"Northern Mariana Islands","N/A","N/A","N/A"
"Puerto Rico","3432","700","4132"
"Virgin Islands","425","23","448"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
