"Title: Estimates of Homelessness | KFF"
"Timeframe: 2008"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","404525","235259","639784","1"
"Alabama","4086","1301","5387"
"Alaska","1067","579","1646"
"Arizona","8428","4060","12488"
"Arkansas","2625","630","3255"
"California","109050","27481","136531"
"Colorado","6260","8487","14747"
"Connecticut","2773","1854","4627"
"Delaware","652","281","933"
"District of Columbia","4208","1836","6044"
"Florida","32959","17199","50158"
"Georgia","13728","5367","19095"
"Hawaii","3326","2735","6061"
"Idaho","817","647","1464"
"Illinois","8356","6368","14724"
"Indiana","4937","2458","7395"
"Iowa","1609","1737","3346"
"Kansas","1080","658","1738"
"Kentucky","4344","3793","8137"
"Louisiana","2894","2587","5481"
"Maine","1241","1391","2632"
"Maryland","4806","4413","9219"
"Massachusetts","7127","7379","14506"
"Michigan","17364","10884","28248"
"Minnesota","3388","4256","7644"
"Mississippi","1697","264","1961"
"Missouri","4195","3492","7687"
"Montana","968","449","1417"
"Nebraska","2244","1741","3985"
"Nevada","6512","2214","8726"
"New Hampshire","1172","847","2019"
"New Jersey","6848","6984","13832"
"New Mexico","1861","1154","3015"
"New York","25771","35354","61125"
"North Carolina","8749","3662","12411"
"North Dakota","375","240","615"
"Ohio","7865","5047","12912"
"Oklahoma","2674","1172","3846"
"Oregon","11548","9105","20653"
"Pennsylvania","7734","7644","15378"
"Rhode Island","714","482","1196"
"South Carolina","3809","1851","5660"
"South Dakota","268","311","579"
"Tennessee","7242","2463","9705"
"Texas","27950","12240","40190"
"Utah","2018","1416","3434"
"Vermont","627","327","954"
"Virginia","4838","3631","8469"
"Washington","12156","9798","21954"
"West Virginia","1435","581","2016"
"Wisconsin","2285","3164","5449"
"Wyoming","357","394","751"
"Guam","254","471","725"
"Northern Mariana Islands","N/A","N/A","N/A"
"Puerto Rico","2668","344","3012"
"Virgin Islands","566","36","602"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
