"Title: Estimates of Homelessness | KFF"
"Timeframe: 2010"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","395140","241937","637077","1"
"Alabama","4553","1493","6046"
"Alaska","1118","745","1863"
"Arizona","9226","4485","13711"
"Arkansas","2120","642","2762"
"California","96940","26540","123480"
"Colorado","7574","7908","15482"
"Connecticut","2993","1323","4316"
"Delaware","681","301","982"
"District of Columbia","4016","2523","6539"
"Florida","35738","21813","57551"
"Georgia","14377","5459","19836"
"Hawaii","2889","2945","5834"
"Idaho","1445","901","2346"
"Illinois","7568","6827","14395"
"Indiana","3588","2864","6452"
"Iowa","1528","1486","3014"
"Kansas","1318","706","2024"
"Kentucky","4125","2498","6623"
"Louisiana","10101","2381","12482"
"Maine","1061","1318","2379"
"Maryland","5999","4846","10845"
"Massachusetts","6403","10243","16646"
"Michigan","7365","5693","13058"
"Minnesota","3605","4264","7869"
"Mississippi","1924","819","2743"
"Missouri","4427","3695","8122"
"Montana","890","725","1615"
"Nebraska","2423","1454","3877"
"Nevada","9565","1640","11205"
"New Hampshire","943","631","1574"
"New Jersey","6520","7217","13737"
"New Mexico","2343","1132","3475"
"New York","26293","39313","65606"
"North Carolina","8361","3830","12191"
"North Dakota","539","260","799"
"Ohio","7719","4850","12569"
"Oklahoma","3317","1912","5229"
"Oregon","10731","8761","19492"
"Pennsylvania","7191","7325","14516"
"Rhode Island","704","578","1282"
"South Carolina","3194","1279","4473"
"South Dakota","445","286","731"
"Tennessee","7623","2653","10276"
"Texas","24078","11043","35121"
"Utah","1926","1358","3284"
"Vermont","797","423","1220"
"Virginia","5338","3742","9080"
"Washington","11901","10977","22878"
"West Virginia","1527","737","2264"
"Wisconsin","3040","3293","6333"
"Wyoming","327","252","579"
"Guam","534","1101","1635"
"Northern Mariana Islands","N/A","N/A","N/A"
"Puerto Rico","3721","428","4149"
"Virgin Islands","468","19","487"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
