"Title: Estimates of Homelessness | KFF"
"Timeframe: 2012"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","382156","239397","621553","1"
"Alabama","3825","1384","5209"
"Alaska","1298","615","1913"
"Arizona","6310","4992","11302"
"Arkansas","3428","786","4214"
"California","94888","25210","120098"
"Colorado","5101","11667","16768"
"Connecticut","2906","1303","4209"
"Delaware","611","397","1008"
"District of Columbia","3767","3187","6954"
"Florida","36771","18399","55170"
"Georgia","15363","5153","20516"
"Hawaii","3130","3116","6246"
"Idaho","1175","793","1968"
"Illinois","8269","5875","14144"
"Indiana","3316","2943","6259"
"Iowa","1446","1482","2928"
"Kansas","1526","1158","2684"
"Kentucky","3282","1948","5230"
"Louisiana","6322","1450","7772"
"Maine","1287","1106","2393"
"Maryland","5727","3727","9454"
"Massachusetts","6289","11212","17501"
"Michigan","7397","5195","12592"
"Minnesota","3540","4204","7744"
"Mississippi","1794","619","2413"
"Missouri","4855","5382","10237"
"Montana","1166","667","1833"
"Nebraska","2215","1574","3789"
"Nevada","7493","1004","8497"
"New Hampshire","832","664","1496"
"New Jersey","6603","6422","13025"
"New Mexico","2136","1109","3245"
"New York","30133","39433","69566"
"North Carolina","8480","5044","13524"
"North Dakota","485","203","688"
"Ohio","7855","6122","13977"
"Oklahoma","3454","1578","5032"
"Oregon","9788","6040","15828"
"Pennsylvania","7295","7441","14736"
"Rhode Island","788","489","1277"
"South Carolina","3327","1588","4915"
"South Dakota","512","347","859"
"Tennessee","6905","2521","9426"
"Texas","20743","13309","34052"
"Utah","2049","1478","3527"
"Vermont","653","507","1160"
"Virginia","5084","3340","8424"
"Washington","11273","9231","20504"
"West Virginia","1742","668","2410"
"Wisconsin","3033","2994","6027"
"Wyoming","1302","511","1813"
"Guam","255","1046","1301"
"Northern Mariana Islands","N/A","N/A","N/A"
"Puerto Rico","2494","718","3212"
"Virgin Islands","438","46","484"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
