"Title: Estimates of Homelessness | KFF"
"Timeframe: 2009"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","392131","238096","630227","1"
"Alabama","4686","1394","6080"
"Alaska","1239","753","1992"
"Arizona","2181","671","2852"
"Arkansas","9959","4762","14721"
"California","97534","26144","123678"
"Colorado","7401","7867","15268"
"Connecticut","2773","1832","4605"
"Delaware","3934","2294","6228"
"District of Columbia","776","354","1130"
"Florida","34432","21167","55599"
"Georgia","14365","5995","20360"
"Hawaii","2941","2841","5782"
"Idaho","7475","6580","14055"
"Illinois","4151","2833","6984"
"Indiana","1655","1725","3380"
"Iowa","1117","822","1939"
"Kansas","1238","654","1892"
"Kentucky","3302","2697","5999"
"Louisiana","10098","2406","12504"
"Maine","7057","8425","15482"
"Maryland","6641","5057","11698"
"Massachusetts","1124","1320","2444"
"Michigan","7857","6148","14005"
"Minnesota","3393","4325","7718"
"Mississippi","3823","3136","6959"
"Missouri","1843","954","2797"
"Montana","752","444","1196"
"Nebraska","891","754","1645"
"Nevada","9159","3759","12918"
"New Hampshire","5962","7207","13169"
"New Jersey","2343","1132","3475"
"New Mexico","24557","36510","61067"
"New York","548","225","773"
"North Carolina","2072","1646","3718"
"North Dakota","9394","1695","11089"
"Ohio","7774","4926","12700"
"Oklahoma","3227","1611","4838"
"Oregon","10443","6866","17309"
"Pennsylvania","7384","7712","15096"
"Rhode Island","1139","468","1607"
"South Carolina","3194","1279","4473"
"South Dakota","445","286","731"
"Tennessee","8048","2484","10532"
"Texas","22564","14197","36761"
"Utah","2242","1553","3795"
"Vermont","5066","3786","8852"
"Virginia","693","521","1214"
"Washington","12086","10696","22782"
"West Virginia","3161","3364","6525"
"Wisconsin","1101","566","1667"
"Wyoming","340","175","515"
"Guam","391","697","1088"
"Northern Mariana Islands","N/A","N/A","N/A"
"Puerto Rico","3730","340","4070"
"Virgin Islands","430","41","471"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
