"Title: Estimates of Homelessness | KFF"
"Timeframe: 2015"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","358422","206286","564708","1"
"Alabama","2868","1102","3970"
"Alaska","1342","614","1956"
"Arizona","6548","3348","9896"
"Arkansas","1833","727","2560"
"California","93156","22582","115738"
"Colorado","5729","4224","9953"
"Connecticut","2719","1328","4047"
"Delaware","602","351","953"
"District of Columbia","3821","3477","7298"
"Florida","26325","9575","35900"
"Georgia","9702","4088","13790"
"Hawaii","4307","3313","7620"
"Idaho","1172","794","1966"
"Illinois","8152","5025","13177"
"Indiana","3914","1949","5863"
"Iowa","1501","1580","3081"
"Kansas","1466","1122","2588"
"Kentucky","3151","1387","4538"
"Louisiana","3217","864","4081"
"Maine","1219","1153","2372"
"Maryland","5383","3007","8390"
"Massachusetts","6378","14757","21135"
"Michigan","6546","3970","10516"
"Minnesota","3622","3924","7546"
"Mississippi","1475","508","1983"
"Missouri","3434","3048","6482"
"Montana","1127","582","1709"
"Nebraska","1720","1024","2744"
"Nevada","7858","885","8743"
"New Hampshire","778","667","1445"
"New Jersey","6189","3909","10098"
"New Mexico","1666","963","2629"
"New York","36135","52115","88250"
"North Carolina","7156","3529","10685"
"North Dakota","864","441","1305"
"Ohio","7565","3617","11182"
"Oklahoma","2781","996","3777"
"Oregon","9461","3765","13226"
"Pennsylvania","8605","6816","15421"
"Rhode Island","706","405","1111"
"South Carolina","3934","1420","5354"
"South Dakota","630","406","1036"
"Tennessee","6516","2607","9123"
"Texas","16265","7413","23678"
"Utah","1809","1216","3025"
"Vermont","910","613","1523"
"Virginia","4190","2811","7001"
"Washington","12526","6893","19419"
"West Virginia","1414","421","1835"
"Wisconsin","2992","3065","6057"
"Wyoming","500","298","798"
"Guam","306","974","1280"
"Northern Mariana Islands","N/A","N/A","N/A"
"Puerto Rico","3929","589","4518"
"Virgin Islands","308","29","337"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
