"Title: Estimates of Homelessness | KFF"
"Timeframe: 2018"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","372417","180413","552830","1"
"Alabama","2570","864","3434"
"Alaska","1434","582","2016"
"Arizona","7259","2606","9865"
"Arkansas","2280","432","2712"
"California","109008","20964","129972"
"Colorado","7607","3250","10857"
"Connecticut","2280","1696","3976"
"Delaware","708","374","1082"
"District of Columbia","3770","3134","6904"
"Florida","21443","9587","31030"
"Georgia","6943","2556","9499"
"Hawaii","4131","2399","6530"
"Idaho","1297","715","2012"
"Illinois","6752","3891","10643"
"Indiana","3776","1482","5258"
"Iowa","1711","1038","2749"
"Kansas","1443","773","2216"
"Kentucky","2735","953","3688"
"Louisiana","2540","519","3059"
"Maine","1450","1066","2516"
"Maryland","4914","2230","7144"
"Massachusetts","6811","13257","20068"
"Michigan","5209","3142","8351"
"Minnesota","3993","3250","7243"
"Mississippi","1024","328","1352"
"Missouri","3776","2107","5883"
"Montana","983","422","1405"
"Nebraska","1745","676","2421"
"Nevada","7058","486","7544"
"New Hampshire","835","615","1450"
"New Jersey","6048","3350","9398"
"New Mexico","1949","602","2551"
"New York","39827","52070","91897"
"North Carolina","6451","2817","9268"
"North Dakota","467","75","542"
"Ohio","6929","3320","10249"
"Oklahoma","2823","1048","3871"
"Oregon","11139","3337","14476"
"Pennsylvania","8163","5349","13512"
"Rhode Island","747","354","1101"
"South Carolina","3082","851","3933"
"South Dakota","836","323","1159"
"Tennessee","6139","1744","7883"
"Texas","19199","6111","25310"
"Utah","1904","972","2876"
"Vermont","780","511","1291"
"Virginia","3928","2047","5975"
"Washington","16424","5880","22304"
"West Virginia","1021","222","1243"
"Wisconsin","2740","2167","4907"
"Wyoming","434","205","639"
"Guam","209","645","854"
"Northern Mariana Islands","357","687","1044"
"Puerto Rico","2921","261","3182"
"Virgin Islands","415","71","486"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
