,Year,State,Population,Index,Violent,Property,Murder,Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Vehicle Theft
631,1990,HI,1108229,67676,3113,64563,44,360,1013,1696,13611,46735,4217
632,1991,HI,1135000,67764,2744,65020,45,375,986,1338,14011,47195,3814
633,1992,HI,1160000,70899,2998,67901,42,440,1151,1365,13006,50544,4351
634,1993,HI,1172000,73566,3061,70505,45,394,1214,1408,13310,51912,5283
635,1994,HI,1179000,78763,3091,75672,50,359,1221,1461,14029,55260,6383
636,1995,HI,1187000,85447,3509,81938,56,336,1553,1564,13832,59907,8199
637,1996,HI,1184000,77961,3322,74639,40,326,1606,1350,12781,54701,7157
638,1997,HI,1187000,71492,3299,68193,47,371,1403,1478,12741,48984,6468
639,1998,HI,1193000,63623,2946,60677,24,352,1225,1345,11169,43914,5594
640,1999,HI,1185497,57324,2785,54539,44,354,1044,1343,9421,40458,4660
641,2000,HI,1211537,62987,2954,60033,35,346,1123,1450,10665,43254,6114
642,2001,HI,1227024,65947,3117,62830,32,409,1142,1534,11162,44925,6743
643,2002,HI,1240663,75238,3262,71976,24,372,1210,1656,12722,49344,9910
644,2003,HI,1248755,69267,3400,65867,22,367,1168,1843,11409,44807,9651
645,2004,HI,1262124,63738,3213,60525,33,333,944,1903,10827,41078,8620
646,2005,HI,1273278,64368,3253,61115,24,343,1001,1885,9792,42188,9135
647,2006,HI,1285498,57997,3615,54382,21,355,1143,2096,8709,37910,7763
648,2007,HI,1283388,57729,3501,54228,22,326,1105,2048,9097,38416,6715
649,2008,HI,1287481,49454,3510,45944,26,363,1085,2036,9404,31424,5116
650,2009,HI,1295178,51066,3550,47516,23,385,1030,2112,9244,33415,4857
651,2010,HI,1363359,49270,3603,45667,25,377,1065,2136,8706,31681,5280
652,2011,HI,1378129,47339,3465,43874,20,353,994,2098,8165,31240,4469
653,2012,HI,1390090,46797,3378,43419,21,279,1125,1953,7653,31901,3865
654,2013,HI,1408987,48851,3585,45266,32,366,934,2111,7777,32928,4561
655,2014,HI,1420257,49384,3362,46022,20,388,952,1842,7470,33003,5549
656,2015,HI,1425157,48919,3530,45389,29,382,1085,1878,6810,33140,5439
657,2016,HI,1428557,47170,4417,42753,35,447,994,2769,6017,31082,5654
658,2017,HI,1424203,43969,3577,40392,39,567,1077,1894,5549,29574,5269
659,2018,HI,1420593,44649,3622,41027,40,709,951,1922,5709,29600,5718
660,2019,HI,1415872,44270,4042,40228,48,765,1131,2098,5340,29634,5254
661,1960,ID,667191,11816,255,11561,16,48,92,99,2011,8883,667
662,1961,ID,684000,12738,222,12516,14,44,64,100,2203,9540,773
663,1962,ID,698000,13461,234,13227,21,25,63,125,2458,9939,830
664,1963,ID,713000,13406,362,13044,18,39,87,218,2405,9939,700
665,1964,ID,692000,13492,537,12955,28,41,71,397,2285,10000,670
666,1965,ID,692000,13719,493,13226,14,38,70,371,2483,10035,708
667,1966,ID,694000,13959,461,13498,21,66,54,320,2706,10076,716
668,1967,ID,699000,13321,478,12843,30,61,76,311,2837,9217,789
669,1968,ID,705000,14956,518,14438,16,59,83,360,3318,10287,833
670,1969,ID,718000,19589,806,18783,14,72,120,600,4236,13603,944
671,1970,ID,713008,22494,879,21615,33,88,146,612,4803,15784,1028
672,1971,ID,732000,25675,917,24758,24,77,163,653,5430,18109,1219
673,1972,ID,756000,25858,1085,24773,29,118,156,782,5705,17678,1390
674,1973,ID,770000,26625,1264,25361,20,109,207,928,6536,17231,1594
675,1974,ID,799000,32620,1465,31155,45,128,303,989,8004,21441,1710
676,1975,ID,820000,33957,1670,32287,43,132,344,1151,8717,21741,1829
677,1976,ID,831000,35488,1884,33604,44,155,332,1353,8615,23076,1913
678,1977,ID,857000,35350,2030,33320,47,166,339,1478,9005,22279,2036
679,1978,ID,878000,35250,2076,33174,47,169,351,1509,9117,21917,2140
680,1979,ID,905000,38379,2613,35766,49,186,392,1986,9729,23577,2460
681,1980,ID,943629,45126,2957,42169,29,211,442,2275,11691,28243,2235
682,1981,ID,959000,43450,2717,40733,43,198,362,2114,11255,27423,2055
683,1982,ID,965000,39403,2501,36902,24,160,292,2025,9958,25256,1688
684,1983,ID,989000,38233,2361,35872,35,181,270,1875,9206,24979,1687
685,1984,ID,1001000,36753,2355,34398,34,187,244,1890,8751,24138,1509
686,1985,ID,1005000,39276,2360,36916,22,192,269,1877,8917,26170,1829
687,1986,ID,1003000,42196,2232,39964,32,201,214,1785,10065,28081,1818
688,1987,ID,998000,41480,2138,39342,31,175,242,1690,9748,27923,1671
689,1988,ID,999000,39690,2345,37345,36,179,202,1928,8691,26893,1761
690,1989,ID,1014000,39860,2582,37278,26,236,152,2168,8843,26825,1610
691,1990,ID,1006749,40845,2776,38069,27,275,151,2323,8187,28216,1666
692,1991,ID,1039000,43594,3016,40578,19,300,215,2482,8582,30143,1853
693,1992,ID,1067000,42639,3003,39636,37,339,229,2398,7934,30023,1679
694,1993,ID,1099000,42258,3097,39161,32,388,186,2491,7350,29795,2016
695,1994,ID,1133000,46192,3238,42954,40,316,209,2673,8147,32597,2210
696,1995,ID,1163000,51189,3745,47444,48,330,279,3088,9069,35560,2815
697,1996,ID,1189000,47709,3177,44532,43,313,241,2580,8431,33872,2229
698,1997,ID,1210000,47495,3107,44388,39,350,237,2481,9175,32784,2429
699,1998,ID,1229000,45653,3468,42185,36,386,264,2782,8518,31385,2282
700,1999,ID,1251700,39429,3066,36363,25,417,223,2401,7641,26824,1898
701,2000,ID,1293953,41228,3267,37961,16,384,223,2644,7330,28545,2086
702,2001,ID,1320585,41392,3211,38181,30,425,245,2511,7507,28285,2389
703,2002,ID,1343124,42547,3419,39128,36,497,240,2646,7441,29060,2627
704,2003,ID,1367034,43404,3362,40042,26,535,245,2556,7837,29559,2646
705,2004,ID,1395140,42251,3452,38799,31,594,241,2586,7671,28389,2739
706,2005,ID,1429367,42226,3670,38556,35,577,266,2792,8066,27606,2884
707,2006,ID,1466465,39096,3625,35471,36,587,301,2701,7526,25516,2429
708,2007,ID,1499402,37274,3589,33685,49,578,233,2729,6977,24482,2226
709,2008,ID,1527506,35930,3678,32252,23,577,241,2837,6805,23772,1675
710,2009,ID,1545801,35025,3805,31220,24,575,254,2952,6682,23066,1472
711,2010,ID,1571102,34900,3464,31436,22,533,213,2696,6513,23594,1329
712,2011,ID,1583744,36077,3202,32875,35,444,188,2535,6915,24629,1331
713,2012,ID,1595590,35173,3348,31825,30,495,243,2580,7240,23203,1382
714,2013,ID,1612843,33701,3471,30230,29,516,220,2548,6693,21999,1538
715,2014,ID,1634806,33879,3439,30440,32,463,203,2559,6466,22297,1677
716,2015,ID,1652828,32505,3593,28912,32,508,191,2667,6124,20916,1872
717,2016,ID,1683140,33233,3876,29357,49,529,213,2895,6318,20962,2077
718,2017,ID,1718904,32668,4111,28557,42,755,222,3092,5837,20570,2150
719,2018,ID,1750536,30018,4196,25822,34,927,195,3040,4990,18876,1956
720,2019,ID,1787065,25793,4000,21793,35,809,155,3001,3927,16295,1571
721,1960,IL,10081158,236085,36802,199283,489,1773,21048,13492,58241,105423,35619
722,1961,IL,10258000,250758,37156,213602,492,1767,20977,13920,60204,117006,36392
723,1962,IL,10146000,258319,38926,219393,537,1884,20442,16063,56377,125306,37710
724,1963,IL,10182000,263232,33627,229605,523,1416,19193,12495,55117,135634,38854
725,1964,IL,10489000,281670,36916,244754,572,1569,19123,15652,57416,144783,42555
726,1965,IL,10644000,270983,34345,236638,551,1706,17535,14553,58566,137634,40438
727,1966,IL,10722000,295847,39116,256731,745,1777,19824,16770,60099,152102,44530
728,1967,IL,10893000,317045,42956,274089,793,1953,21879,18331,66282,161876,45931
729,1968,IL,10974000,355322,44776,310546,893,1798,23209,18876,75013,187133,48400
730,1969,IL,11047000,383161,49543,333618,950,2113,26153,20327,81602,199600,52416
731,1970,IL,11113976,420061,52006,368055,1066,2270,27908,20762,85067,225437,57551
732,1971,IL,11196000,435003,53436,381567,1079,2418,28900,21039,93682,234618,53267
733,1972,IL,11251000,426539,57162,369377,985,2623,29267,24287,95190,224344,49843
734,1973,IL,11236000,485949,62457,423492,1163,2694,30651,27949,115183,251263,57046
735,1974,IL,11131000,577060,69806,507254,1319,3082,34882,30523,140717,307382,59155
736,1975,IL,11145000,635654,74699,560955,1179,2869,36308,34343,157110,337698,66147
737,1976,IL,11229000,612567,70266,542301,1161,2763,32243,34099,141305,335946,65050
738,1977,IL,11245000,599101,70910,528191,1109,2932,31524,35345,141346,318062,68783
739,1978,IL,11243000,631837,76084,555753,1108,3151,32932,38893,151854,333910,69989
740,1979,IL,11230000,677290,83540,593750,1203,3702,36056,42579,161776,356062,75912
741,1980,IL,11355062,711860,91753,620107,1205,3950,41675,44923,177099,369319,73689
742,1981,IL,11455000,700548,90781,609767,1205,3716,42752,43108,173142,366696,69929
743,1982,IL,11448000,668598,88644,579954,1005,3424,39700,44515,157273,354106,68575
744,1983,IL,11486000,636486,83629,552857,1112,3619,36625,42273,148445,339061,65351
745,1984,IL,11511000,610565,83441,527124,1033,3594,34965,43849,135068,324649,67407
746,1985,IL,11535000,612653,82448,530205,927,4529,33120,43872,131015,331030,68160
747,1986,IL,11533000,640740,92429,548311,1023,4765,37583,50083,136306,339418,72587
748,1987,IL,11582000,627342,92216,535126,967,4443,36406,50400,130147,342492,62487
749,1988,IL,11544000,648873,93557,555316,991,4449,36097,52020,130292,355148,69876
750,1989,IL,11658000,657414,98611,558803,1051,4161,39138,54261,125441,362556,70806
751,1990,IL,11430602,678416,110575,567841,1182,4505,45038,59850,121506,372862,73473
752,1991,IL,11543000,707823,119955,587868,1300,4615,52653,61387,129284,382942,75642
753,1992,IL,11631000,670564,113664,556900,1322,4312,47973,60057,125306,359618,71976
754,1993,IL,11697000,657129,112260,544869,1332,4046,44584,62298,118788,360730,65351
755,1994,IL,11752000,661150,112928,548222,1378,3913,43788,63849,118116,363888,66218
756,1995,IL,11830000,645408,117836,527572,1221,4313,39139,73163,108555,357143,61874
757,1996,IL,11847000,630259,105482,524777,1179,4548,33106,66649,108185,358515,58077
758,1997,IL,11896000,611589,102476,509113,1096,4415,33123,63842,103550,350140,55423
759,1998,IL,12045000,586923,97291,489632,1008,4095,29927,62261,99509,337191,52932
760,1999,IL,12128370,547560,83621,463939,939,4297,26365,52020,86317,320954,56668
761,2000,IL,12419293,532315,81567,450748,891,4090,25758,50828,81913,312692,56143
762,2001,IL,12520227,513918,79270,434648,982,4010,24931,49347,79158,306757,48733
763,2002,IL,12586447,506238,75759,430479,961,4370,25314,45114,81440,304277,44812
764,2003,IL,12649087,486231,70376,415885,895,4189,23786,41506,78345,295907,41633
765,2004,IL,12712016,472851,69365,403486,780,4220,22582,41783,76088,287025,40373
766,2005,IL,12765427,475166,70496,394670,770,4313,23255,42158,77635,277662,39373
767,2006,IL,12831970,456976,69498,387478,780,4078,23782,40858,77259,272578,37641
768,2007,IL,12852548,445850,68528,377322,752,4103,23100,40573,75524,267911,33877
769,2008,IL,12842954,449087,67840,381247,790,4104,24067,38879,78968,269553,32726
770,2009,IL,12910409,417532,64185,353347,773,3901,22923,36588,77850,248821,26676
771,2010,IL,12841980,406196,57132,349064,704,3066,20386,32976,77472,242681,28911
772,2011,IL,12859752,398991,54523,344468,781,3030,20217,30495,77719,237362,29387
773,2012,IL,12868192,386262,53556,332706,770,3581,19480,29725,71100,235314,26292
774,2013,IL,12890552,348004,51956,296048,722,3895,17733,28161,59093,216059,20896
775,2014,IL,12882189,317422,47775,269647,690,3182,15271,27485,50759,201003,17885
776,2015,IL,12839047,306717,49755,256962,754,3602,15056,29019,46846,192424,17692
777,2016,IL,12801539,318160,55854,262306,1054,3635,17827,32065,47989,194407,19910
778,2017,IL,12786196,310885,55777,255108,983,5424,17731,31639,43355,190860,20893
779,2018,IL,12723071,299022,52343,246679,902,6106,14251,31084,39317,187517,19845
780,2019,IL,12671821,285545,51561,233984,832,6078,12464,32187,34433,180776,18775
781,1960,IN,4662498,72441,3945,68496,204,240,1609,1892,21486,39196,7814
782,1961,IN,4711000,76915,4044,72871,192,250,1829,1773,22162,42379,8330
783,1962,IN,4715000,85001,4191,80810,167,289,1814,1921,22183,49473,9154
784,1963,IN,4694000,96236,4819,91417,130,380,2219,2090,25294,56127,9996
785,1964,IN,4825000,105342,6564,98778,147,505,2802,3110,25797,62098,10883
786,1965,IN,4885000,106029,6695,99334,173,516,2802,3204,27178,60113,12043
787,1966,IN,4918000,114888,7196,107692,197,520,3089,3390,30859,63282,13551
788,1967,IN,5000000,129624,8143,121481,188,633,3933,3389,35074,69464,16943
789,1968,IN,5067000,147968,10229,137739,243,741,5119,4126,37693,79174,20872
790,1969,IN,5118000,158114,10141,147973,255,864,4788,4234,41916,85869,20188
791,1970,IN,5193669,180995,12184,168811,253,1031,5729,5171,48084,97338,23389
792,1971,IN,5274000,185789,13031,172758,282,1025,6646,5078,51104,100414,21240
793,1972,IN,5291000,180408,12968,167440,321,1192,5878,5577,50180,97921,19339
794,1973,IN,5316000,198111,13696,184415,388,1239,5785,6284,55064,108623,20728
795,1974,IN,5330000,231155,15631,215524,427,1255,7166,6783,66870,127706,20948
796,1975,IN,5311000,260847,17677,243170,449,1291,8328,7609,73103,149447,20620
797,1976,IN,5302000,247776,16721,231055,377,1228,6830,8286,64450,146859,19746
798,1977,IN,5330000,227743,16553,211190,395,1412,6565,8181,57894,133179,20117
799,1978,IN,5374000,233153,17383,215770,334,1451,6526,9072,59561,134119,22090
800,1979,IN,5400000,248477,18254,230223,448,1681,7167,8958,63176,143666,23381
801,1980,IN,5461103,269252,20633,248619,485,1808,7720,10620,71720,153297,23602
802,1981,IN,5466000,248144,18672,229472,388,1616,7050,9618,63887,147038,18547
803,1982,IN,5471000,242338,16444,225894,355,1521,5966,8602,59569,148454,17871
804,1983,IN,5479000,226272,15547,210725,286,1509,5474,8278,54147,138929,17649
805,1984,IN,5498000,216039,16781,199258,303,1372,5435,9671,51019,128941,19298
806,1985,IN,5499000,215234,17014,198220,319,1318,5065,10312,50295,129861,18064
807,1986,IN,5504000,212170,16937,195233,329,1424,4954,10230,48802,128404,18027
808,1987,IN,5531000,227864,18169,209695,307,1609,4901,11352,52363,137722,19610
809,1988,IN,5575000,231364,21187,210177,358,1731,4963,14135,52137,138335,19705
810,1989,IN,5593000,248327,22735,225592,353,1804,5671,14907,54201,149514,21877
811,1990,IN,5544159,259651,26275,233376,344,2103,5619,18209,52297,156741,24338
812,1991,IN,5610000,270279,28349,241930,423,2318,6506,19102,54814,161039,26077
813,1992,IN,5662000,265375,28791,236584,454,2398,6921,19008,53907,157181,25496
814,1993,IN,5713000,255090,27941,227149,430,2234,6845,18432,48677,154016,24456
815,1994,IN,5752000,264180,30205,233975,453,2046,7490,20216,48921,160043,25011
816,1995,IN,5803000,268768,30451,238317,466,1930,7844,20211,47676,163618,27023
817,1996,IN,5841000,262742,31366,231376,420,1992,7249,21705,45782,160777,24817
818,1997,IN,5864000,261902,30179,231723,430,1928,7763,20058,48182,158442,25099
819,1998,IN,5899000,245952,25423,220529,454,1952,6561,16456,46552,152790,21187
820,1999,IN,5942901,223808,22261,201547,391,1607,6496,13767,42463,138794,20290
821,2000,IN,6080485,228135,21230,206905,352,1759,6282,12837,41108,144707,21090
822,2001,IN,6126743,234282,22734,211548,413,1716,7171,13434,42758,147291,21499
823,2002,IN,6156913,230966,22001,208965,362,1843,6612,13184,42605,146073,20287
824,2003,IN,6199571,229881,21842,208039,338,1720,6401,13383,41582,145686,20771
825,2004,IN,6226537,232223,20294,211929,316,1803,6373,11802,42168,148670,21091
826,2005,IN,6266019,237080,20302,216778,356,1856,6809,11281,43756,151278,21744
827,2006,IN,6313520,240993,19876,221127,369,1835,7243,10429,46168,153093,21866
828,2007,IN,6345289,236691,21165,215526,356,1742,7872,11195,46919,149050,19557
829,2008,IN,6388309,233479,21520,212959,322,1708,7591,11899,48905,146545,17509
830,2009,IN,6423113,221362,21455,199907,312,1621,7347,12175,48880,137190,13837
831,2010,IN,6490622,220257,20983,199274,268,1760,6559,12396,48570,137204,13500
832,2011,IN,6516353,227635,21619,206016,306,1758,6977,12578,50571,140630,14815
833,2012,IN,6537782,220538,22544,197994,307,1661,6601,13975,47689,136668,13637
834,2013,IN,6570713,211099,23627,187472,357,1623,7114,13915,42754,130534,14184
835,2014,IN,6597880,199014,24105,174909,333,1608,6894,14681,36909,124144,13856
836,2015,IN,6612768,197251,25373,171878,370,1757,7081,15536,34404,123940,13534
837,2016,IN,6633053,198604,26845,171759,439,1851,7330,16575,34097,122931,14731
838,2017,IN,6660082,185239,26307,158932,413,2612,7035,16247,29799,114395,14738
839,2018,IN,6695497,171957,25009,146948,418,2486,5737,16368,25894,105861,15193
840,2019,IN,6732219,157660,24966,132694,377,2475,5331,16783,21795,97176,13723
841,1960,IA,2757537,30991,656,30335,17,102,301,236,6375,21865,2095
842,1961,IA,2779000,30035,643,29392,36,81,291,235,6356,21096,1940
843,1962,IA,2777000,31590,559,31031,31,105,238,185,7326,21668,2037
844,1963,IA,2780000,32784,629,32155,35,100,253,241,7516,22374,2265
845,1964,IA,2756000,37383,1007,36376,35,137,310,525,8004,25733,2639
846,1965,IA,2760000,38574,1067,37507,36,123,354,554,8398,26220,2889
847,1966,IA,2747000,45155,1214,43941,43,132,351,688,9245,31074,3622
848,1967,IA,2753000,51784,1608,50176,42,155,578,833,11881,34022,4273
849,1968,IA,2748000,58908,1882,57026,48,186,686,962,13027,39476,4523
850,1969,IA,2781000,62642,1918,60724,39,178,622,1079,13603,42184,4937
851,1970,IA,2825041,70770,2241,68529,54,175,804,1208,14331,49253,4945
852,1971,IA,2852000,74882,2822,72060,52,255,866,1649,15160,52528,4372
853,1972,IA,2883000,72990,2519,70471,50,248,770,1451,15037,50560,4874
854,1973,IA,2904000,82230,2970,79260,63,329,954,1624,18412,55310,5538
855,1974,IA,2855000,97460,3455,94005,54,287,1390,1724,22597,65153,6255
856,1975,IA,2870000,112181,4039,108142,71,297,1536,2135,23492,78057,6593
857,1976,IA,2870000,116276,3813,112463,67,307,1180,2259,23737,82788,5938
858,1977,IA,2879000,111172,4145,107027,67,306,1187,2585,23392,77304,6331
859,1978,IA,2896000,115263,4674,110589,74,300,1357,2943,25214,78567,6808
860,1979,IA,2903000,124879,5259,119620,65,320,1457,3417,26768,85023,7829
861,1980,IA,2907804,138026,5826,132200,63,416,1596,3751,31390,93605,7205
862,1981,IA,2897000,136638,5915,130723,76,389,1554,3896,30925,93333,6465
863,1982,IA,2905000,120166,5018,115148,67,362,1051,3538,27535,82568,5045
864,1983,IA,2905000,113849,5262,108587,68,365,1192,3637,26599,77402,4586
865,1984,IA,2910000,110566,5781,104785,59,375,1114,4233,25357,74818,4610
866,1985,IA,2884000,113713,6106,107607,55,363,1187,4501,26349,76835,4423
867,1986,IA,2851000,118336,6703,111633,51,356,1197,5099,27255,79864,4514
868,1987,IA,2834000,117334,6553,110781,59,337,1025,5132,26010,80489,4282
869,1988,IA,2834000,115533,7279,108254,47,446,1132,5654,24211,79447,4596
870,1989,IA,2840000,115912,7563,108349,54,459,1108,5942,24052,79801,4496
871,1990,IA,2776755,113871,8321,105550,54,510,1089,6668,22448,78384,4718
872,1991,IA,2795000,115546,8477,107069,57,583,1257,6580,23267,79030,4772
873,1992,IA,2812000,111275,7816,103459,44,528,1113,6131,21197,77788,4474
874,1993,IA,2814000,108239,9159,99080,66,686,1517,6890,20562,73148,5370
875,1994,IA,2829000,103389,8914,94475,47,666,1327,6874,18872,70507,5096
876,1995,IA,2842000,116575,10071,106504,51,619,1507,7894,21527,78645,6332
877,1996,IA,2852000,104067,7771,96296,53,561,1286,5871,18954,71893,5449
878,1997,IA,2852000,108827,8841,99986,52,579,1593,6617,22003,71301,6682
879,1998,IA,2862000,100188,8916,91272,54,728,1456,6678,19282,66016,5974
880,1999,IA,2869413,92497,8034,84463,43,780,1051,6160,17012,62316,5135
881,2000,IA,2926324,94630,7796,86834,46,676,1071,6003,16342,65118,5374
882,2001,IA,2931967,96499,7865,88634,50,649,1154,6012,16885,66244,5505
883,2002,IA,2935840,101265,8388,92877,44,797,1169,6378,18643,68411,5823
884,2003,IA,2941976,95729,8175,87554,50,796,1131,6198,17515,64400,5639
885,2004,IA,2952904,94274,8499,85775,44,782,1160,6513,17928,62214,5633
886,2005,IA,2965524,93067,8697,84370,40,847,1153,6657,18147,60723,5500
887,2006,IA,2982085,92024,8455,83579,55,828,1298,6274,18017,60556,5006
888,2007,IA,2988046,86959,8805,78154,37,904,1313,6551,16941,56328,4885
889,2008,IA,2993987,81927,8651,73276,77,937,1249,6388,16598,52302,4376
890,2009,IA,3007856,78565,8485,70080,38,890,1201,6356,16419,49757,3904
891,2010,IA,3050202,76931,8191,68740,38,883,1012,6258,16746,48194,3800
892,2011,IA,3064097,79926,7883,72043,44,866,824,6149,17573,50472,3998
893,2012,IA,3075039,78524,8167,70357,49,901,962,6255,17201,49116,4040
894,2013,IA,3092341,76419,8443,67976,41,873,937,6332,15918,47803,4255
895,2014,IA,3109481,73584,8484,65100,60,829,1047,6227,14363,46594,4143
896,2015,IA,3121997,73307,8619,64688,73,877,1050,6291,14977,45328,4383
897,2016,IA,3134693,74501,9110,65391,71,922,1148,6644,15030,45378,4983
898,2017,IA,3143637,74690,9038,65652,98,1305,1269,6366,14711,45441,5500
899,2018,IA,3148618,65327,8303,57024,70,1126,989,6118,12433,39498,5093
900,2019,IA,3155070,63109,8410,54699,60,1164,863,6323,11710,37847,5142
901,1960,KN,2178611,30392,1272,29120,64,109,410,689,7705,19515,1900
902,1961,KN,2194000,31200,1282,29918,41,118,460,663,7275,20763,1880
903,1962,KN,2219000,34791,1477,33314,63,147,480,787,7531,23514,2269
904,1963,KN,2225000,36535,1831,34704,57,148,648,978,8234,24068,2402
905,1964,KN,2225000,43918,2573,41345,75,246,623,1629,9626,28613,3106
906,1965,KN,2234000,44462,2392,42070,60,204,537,1591,10443,28886,2741
907,1966,KN,2250000,47296,2517,44779,78,200,667,1572,10712,30742,3325
908,1967,KN,2275000,56295,3248,53047,90,243,959,1956,13610,35231,4206
909,1968,KN,2303000,62727,3463,59264,86,305,1095,1977,14178,40353,4733
910,1969,KN,2321000,72834,3873,68961,81,350,1271,2171,16091,47579,5291
911,1970,KN,2249071,81946,4561,77385,107,325,1689,2440,19829,51784,5772
912,1971,KN,2258000,78922,4843,74079,115,360,1483,2885,20064,48511,5504
913,1972,KN,2258000,76881,4737,72144,91,401,1556,2689,20472,46433,5239
914,1973,KN,2279000,80079,4956,75123,137,411,1781,2627,23485,46840,4798
915,1974,KN,2270000,97619,6272,91347,157,447,2447,3221,28797,57134,5416
916,1975,KN,2267000,107614,6307,101307,122,391,2103,3691,31047,64900,5360
917,1976,KN,2310000,110382,6529,103853,104,506,1983,3936,30618,67870,5365
918,1977,KN,2326000,106154,7206,98948,153,511,2343,4199,29549,63716,5683
919,1978,KN,2348000,106696,7471,99225,133,586,2201,4551,30215,63194,5816
920,1979,KN,2369000,115981,8376,107605,130,626,2423,5197,31504,69622,6479
921,1980,KN,2354783,126660,9168,117492,163,742,2664,5599,35826,75268,6398
922,1981,KN,2381000,128676,8796,119880,151,733,2611,5301,36768,77039,6073
923,1982,KN,2408000,119244,8088,111156,138,596,2095,5259,32382,73416,5358
924,1983,KN,2425000,109847,7919,101928,137,627,2038,5117,28318,68735,4875
925,1984,KN,2438000,105793,8147,97646,89,669,1745,5644,25577,67028,5041
926,1985,KN,2450000,107190,8716,98474,121,719,1929,5947,25740,67433,5301
927,1986,KN,2461000,118683,9076,109607,108,810,1958,6200,29229,74029,6349
928,1987,KN,2476000,121420,8932,112488,110,808,2032,5982,28177,78043,6268
929,1988,KN,2487000,121363,9083,112280,85,779,2136,6083,29321,76927,6032
930,1989,KN,2513000,125219,10073,115146,138,917,2508,6510,29871,77802,7473
931,1990,KN,2477574,128664,11093,117571,98,1002,2914,7079,28901,80361,8309
932,1991,KN,2495000,138081,12465,125616,153,1118,3453,7741,32601,84258,8757
933,1992,KN,2523000,134222,12888,121334,151,1042,3277,8418,32639,80526,8169
934,1993,KN,2531000,125924,12564,113360,161,1016,3128,8259,28655,76538,8167
935,1994,KN,2554000,123791,11314,112477,170,1055,2940,7149,28635,75459,8383
936,1995,KN,2565000,125350,10792,114558,159,938,2775,6920,27404,78855,8299
937,1996,KN,2572000,120414,10642,109772,170,1096,2476,6900,25239,78145,6388
938,1997,KN,2595000,118422,10619,107803,155,1100,2420,6944,25187,76125,6491
939,1998,KN,2629000,127737,10438,117299,154,1119,2283,6882,23466,87845,5988
940,1999,KN,2654052,117803,10159,107644,160,1065,2047,6887,21874,79722,6048
941,2000,KN,2688418,118527,10470,108057,169,1022,2048,7231,21484,80077,6496
942,2001,KN,2702125,116446,10909,105537,92,945,2423,7449,20514,77038,7985
943,2002,KN,2711769,110997,10229,100768,78,1035,2165,6951,19679,73677,7212
944,2003,KN,2724786,120107,10831,109276,125,1085,2247,7374,21973,79471,7832
945,2004,KN,2733697,120101,10330,109771,122,1142,1812,7254,20146,81115,8510
946,2005,KN,2748172,115289,10701,104588,101,1098,1795,7707,19028,7622,9338
947,2006,KN,2764075,115406,11748,103658,127,1238,1877,8506,19992,74963,8703
948,2007,KN,2775997,114686,12566,102120,107,1231,2016,9212,20263,73293,8564
949,2008,KN,2797375,106775,11586,95189,113,1230,1682,8561,19743,68028,7418
950,2009,KN,2818747,102390,11460,90930,125,1179,1786,8370,19473,65499,5958
951,2010,KN,2859143,99711,10602,89109,97,1146,1538,7821,19315,63774,6020
952,2011,KN,2870386,98864,10209,88655,111,1122,1448,7528,18712,63259,6684
953,2012,KN,2885398,101358,10292,91066,85,1105,1493,7609,18874,65413,6779
954,2013,KN,2895801,95632,9928,85704,117,1003,1339,7177,17476,61557,6671
955,2014,KN,2902507,90264,10235,80029,92,1066,1361,7299,15921,57169,6939
956,2015,KN,2906721,91542,11483,80059,126,1226,1823,7850,15619,57435,7005
957,2016,KN,2907289,89427,11060,78367,111,971,1671,7966,14364,57066,6937
958,2017,KN,2910689,91041,11654,79387,134,1504,1633,8383,13102,58891,7394
959,2018,KN,2911359,90310,12861,77449,122,1664,1420,9655,12792,56726,7931
960,2019,KN,2913314,79396,11968,67428,105,1416,1293,9154,9984,50165,7279
961,1960,KY,3038156,36844,2957,33887,205,163,1001,1588,11274,18831,3782
962,1961,KY,3076000,36910,2907,34003,201,146,1085,1475,11271,19402,3330
963,1962,KY,3082000,41033,2963,38070,201,177,1122,1463,12809,21692,3569
964,1963,KY,3095000,44481,2849,41632,172,166,1109,1402,13508,24159,3965
965,1964,KY,3159000,50013,3486,46527,164,254,1140,1928,14571,27430,4526
966,1965,KY,3179000,50537,3463,47074,168,209,1167,1919,14140,28112,4822
967,1966,KY,3183000,55332,4191,51141,223,265,1362,2341,15360,28532,7249
968,1967,KY,3189000,59196,4484,54712,230,291,1502,2461,15399,30325,8988
969,1968,KY,3229000,64291,5317,58974,288,330,1941,2758,16872,31376,10726
970,1969,KY,3232000,69969,5745,64224,336,370,2236,2803,18399,34646,11179
971,1970,KY,3219311,79971,7157,72814,357,441,2344,4015,22662,39002,11150
972,1971,KY,3282000,81450,7717,73733,358,489,2541,4329,23596,39232,10905
973,1972,KY,3299000,73688,7446,66242,323,517,2744,3862,21449,35495,9298
974,1973,KY,3342000,75705,7356,68349,323,545,2843,3645,22716,38072,7561
975,1974,KY,3357000,92644,7857,84787,347,592,3100,3818,27865,49240,7682
976,1975,KY,3396000,110858,8967,101891,345,523,3504,4595,32696,60251,8944
977,1976,KY,3428000,113016,8987,104029,362,611,3382,4632,31886,63683,8460
978,1977,KY,3458000,104201,8077,96124,349,659,2806,4263,30162,57477,8485
